trip_date,total_trips,active_vendors,total_passengers,avg_passengers,total_fares,total_tips,total_tolls,total_revenue,average_fare
2024-06-07,132014,2,152263,1.35,2536605.37,414591.03,72133.22,3657247.26,19.21
2024-06-08,132288,2,154660,1.43,2459469.24,361438.48,54997.99,3428851.67,18.59
2024-06-09,106950,2,121690,1.40,2287871.68,344163.20,78397.97,3172802.53,21.39
2024-06-10,105750,2,125905,1.30,2105917.62,372881.98,73680.65,3076193.20,19.91
2024-06-11,119390,2,141840,1.27,2233265.56,412658.86,63879.44,3298822.99,18.71
2024-06-12,122497,2,146319,1.28,2260757.58,421933.38,64785.44,3352291.04,18.46
2024-06-13,128088,2,153271,1.29,2393479.76,444401.91,68647.51,3538646.08,18.69
2024-06-14,123402,2,148507,1.34,2268478.45,392465.18,61985.45,3322669.77,18.38
2024-06-15,115192,2,143966,1.42,2117340.50,341163.05,54428.42,3000944.69,18.38
2024-06-16,104970,2,118064,1.40,2132629.04,314061.05,70088.21,2969398.86,20.32
2024-06-17,100449,2,120562,1.30,1894924.75,333754.10,65412.58,2787859.56,18.86
2024-06-18,121975,2,141002,1.29,2249364.72,388584.97,57958.35,3287159.57,18.44
2024-06-19,103051,2,130368,1.33,1884495.95,348946.44,59089.55,2801674.78,18.29
2024-06-20,124466,2,147840,1.30,2404945.46,419598.44,67262.80,3499644.12,19.32
2024-06-21,119178,2,146746,1.36,2257094.87,382660.89,65773.91,3282502.61,18.94
2024-06-22,117797,2,149459,1.45,2131599.18,342746.56,53842.35,3027993.03,18.10
2024-06-23,102514,2,129937,1.42,2007308.30,333571.47,67535.14,2853893.79,19.58
2024-06-24,109906,2,131008,1.31,2250501.59,388446.21,80869.78,3266110.24,20.48
2024-06-25,126747,2,142308,1.29,2514233.33,418521.23,71373.31,3620267.72,19.84
2024-06-26,132783,2,148723,1.29,2630633.34,434209.69,66543.02,3772728.36,19.81
2024-06-27,127436,2,144170,1.30,2693294.90,444767.18,77941.94,3838240.98,21.13
2024-06-28,111966,2,132643,1.36,2256459.34,366995.60,67177.83,3231264.53,20.15
2024-06-29,109596,2,135601,1.45,2070136.79,316192.36,51328.20,2902187.21,18.89
2024-06-30,91513,2,109160,1.43,1894899.11,280776.21,57967.16,2623083.13,20.71
2024-07-01,85593,2,106151,1.34,1723528.75,282275.47,60352.68,2480642.98,20.14
2024-07-02,87759,2,109513,1.33,1653592.81,275871.49,47558.35,2396566.81,18.84
2024-07-03,80405,2,102734,1.36,1524179.22,250266.58,48508.71,2204060.46,18.96
2024-07-04,61799,2,81208,1.51,1226954.82,177539.15,38295.88,1701800.65,19.85
2024-07-05,74116,2,102279,1.48,1406394.04,218285.01,44114.72,2020106.33,18.98
2024-07-06,75063,2,108929,1.52,1504570.35,247889.37,51048.53,2122791.20,20.04
2024-07-07,75772,2,103347,1.45,1665063.82,279386.21,68937.76,2346442.65,21.97
2024-07-08,91157,2,115114,1.33,1876397.98,326797.85,69317.37,2723329.90,20.58
2024-07-09,110677,2,132107,1.29,2132265.34,370564.38,60638.27,3101542.76,19.27
2024-07-10,118834,2,139779,1.29,2242655.26,387369.05,59565.86,3262813.17,18.87
2024-07-11,117805,2,137846,1.30,2334846.04,396590.40,64472.10,3369493.29,19.82
2024-07-12,101601,2,127088,1.36,1923446.12,326327.77,56988.48,2798013.62,18.93
2024-07-13,100810,2,131422,1.46,1876962.70,302792.56,49715.63,2656838.36,18.62
2024-07-14,96336,2,112907,1.41,1934295.93,296446.06,63059.21,2708203.10,20.08
2024-07-15,102150,2,119861,1.31,2057084.77,344305.95,69558.72,2967748.66,20.14
2024-07-16,127592,2,141968,1.28,2432904.19,402260.08,62015.68,3513064.81,19.07
2024-07-17,128138,2,141828,1.28,2437577.56,404430.74,57776.09,3511683.57,19.02
2024-07-18,120216,2,138499,1.29,2441008.24,412946.93,73408.79,3514969.76,20.31
2024-07-19,105624,2,127363,1.36,2067011.77,340309.09,64112.89,2978228.65,19.57
2024-07-20,105820,2,132927,1.46,2009488.95,309508.99,52688.55,2817536.87,18.99
2024-07-21,92955,2,115595,1.43,1903536.03,296820.69,66070.97,2666615.42,20.48
2024-07-22,93991,2,114515,1.32,1862122.44,317606.74,63527.38,2699380.07,19.81
2024-07-23,109238,2,128505,1.29,2123738.57,365748.52,62316.26,3083079.17,19.44
2024-07-24,114043,2,133625,1.29,2184837.45,379112.66,61289.49,3178454.37,19.16
2024-07-25,113928,2,137478,1.32,2269347.35,392787.32,67272.33,3286631.25,19.92
2024-07-26,98964,2,128590,1.38,1916598.67,329311.02,59015.99,2784649.72,19.37
2024-07-27,96805,2,132169,1.47,1828298.08,299053.36,48033.18,2585379.87,18.89
2024-07-28,88829,2,113414,1.43,1808054.23,291237.93,63291.93,2549561.90,20.35
2024-07-29,87810,2,111765,1.33,1726146.25,304393.88,60669.41,2520497.15,19.66
2024-07-30,102450,2,127789,1.30,1902392.28,344634.52,52060.62,2797278.28,18.57
2024-07-31,109528,2,132669,1.30,2080935.87,368006.01,56817.73,3037761.15,19.00
2024-08-01,117133,2,138239,1.30,2240534.79,382690.43,62876.46,3254783.82,19.13
2024-08-02,108180,2,132354,1.37,2047350.68,332936.19,57694.62,2957313.48,18.93
2024-08-03,113429,2,131943,1.45,2177498.79,307621.39,51651.34,3009535.63,19.20
2024-08-04,86871,2,111748,1.43,1811640.63,288027.61,63490.65,2538126.65,20.85
2024-08-05,94221,2,117043,1.33,1883572.61,320169.20,66029.84,2729941.76,19.99
2024-08-06,119242,2,132719,1.30,2267780.13,357585.53,53772.24,3245203.31,19.02
2024-08-07,110086,2,131080,1.30,2190820.18,375142.45,63583.14,3162022.85,19.90
2024-08-08,109571,2,128323,1.30,2150027.66,362966.54,60881.05,3103345.03,19.62
2024-08-09,92313,2,116183,1.37,1751637.17,296759.37,54512.20,2545924.17,18.97
2024-08-10,96134,2,122243,1.46,1839058.94,281640.32,48688.44,2573079.83,19.13
2024-08-11,81563,2,101016,1.43,1767118.21,274340.71,61500.71,2455873.20,21.67
2024-08-12,80558,2,101499,1.32,1621874.55,277841.72,59398.82,2350194.52,20.13
2024-08-13,91859,2,113769,1.30,1733181.56,304808.28,53585.99,2535541.59,18.87
